image,baseline_psnr,baseline_ssim,baseline_lpips
0,22.96694136852245,0.55515856,0.6462545394897461
1,27.81421083356716,0.77397823,0.3603072166442871
2,29.233397692074714,0.87503034,0.2697868347167969
3,22.304632361971475,0.54067725,0.6694633364677429
4,24.713102381461667,0.57188416,0.7228445410728455
5,23.29287716481096,0.71147656,0.48380598425865173
6,18.160953803630996,0.30337062,0.874819278717041
7,22.670763838909238,0.67672235,0.49814486503601074
8,25.700497374117205,0.611533,0.5800623893737793
9,23.900252077653803,0.612681,0.6632451415061951
10,24.508001879520897,0.56103915,0.667083740234375
11,22.891896087857027,0.60872734,0.6077760457992554
12,25.354455735031696,0.72808075,0.48524418473243713
13,23.43717059058288,0.7846071,0.3570903241634369
14,25.43602786167836,0.7659132,0.38877591490745544
15,26.208078862495384,0.6663123,0.6218945980072021
16,25.670074297757278,0.72411484,0.48522812128067017
17,23.35642550078733,0.7273734,0.49877044558525085
18,22.696203219468927,0.53548604,0.6510345935821533
19,17.796002923307096,0.426249,0.7563874125480652
20,18.278845375447947,0.54223925,0.48888689279556274
21,22.975693128410217,0.5432759,0.5923608541488647
22,21.26654802956661,0.6304364,0.5898593664169312
23,21.714146767627838,0.7140673,0.5293477177619934
24,20.52625513411348,0.53649294,0.699398398399353
25,21.12508362292981,0.5785926,0.6231976747512817
26,28.008453468627582,0.77363396,0.630401611328125
27,14.679652870745663,0.47456625,0.6225947141647339
28,23.80584962351614,0.4214096,0.7642805576324463
29,21.78228804998622,0.56227607,0.6365494132041931
30,22.744534096263518,0.61644536,0.6276404857635498
31,22.77534900535151,0.6393607,0.5917415618896484
32,24.23733189131724,0.7726803,0.5175547003746033
33,21.74832826961221,0.6075601,0.5257269144058228
34,20.185747612595442,0.34000432,0.8489517569541931
35,20.79300997999336,0.58004016,0.5911751985549927
36,20.394880154292146,0.524821,0.7106675505638123
37,32.19705198683666,0.8463109,0.5379418134689331
38,24.60533007465883,0.6639342,0.47300705313682556
39,23.26826107254177,0.5639078,0.661356508731842
40,23.298153998213426,0.66095704,0.6536650657653809
41,24.644696479168196,0.7028639,0.4638884961605072
42,32.186980378313855,0.9561281,0.1197197288274765
43,30.729310718371785,0.9350753,0.18134665489196777
44,18.852615214027704,0.504193,0.7067039608955383
45,19.678873132463007,0.5628144,0.5929044485092163
46,21.168365391825475,0.55785555,0.6351168155670166
47,22.930778601668006,0.57788265,0.6521554589271545
48,16.460019915782325,0.39910638,0.8260263204574585
49,23.655363907190544,0.6351641,0.6609787940979004
50,24.08105335588924,0.76836306,0.40410205721855164
51,27.16405700111774,0.69759256,0.6134690642356873
52,25.431647029950494,0.78539515,0.4073449671268463
53,20.5583022616239,0.51737833,0.6522830128669739
54,25.137109438743543,0.6075458,0.7345866560935974
55,20.681924781060225,0.41952363,0.8088992834091187
56,31.825605075977382,0.76538277,0.7172287106513977
57,23.893342026001907,0.53949904,0.6778216361999512
58,21.107405597354003,0.42509294,0.7901098728179932
59,17.95065773951527,0.33850554,0.8442508578300476
60,18.926925787739812,0.47724977,0.7876556515693665
61,29.705924575036402,0.74092454,0.5872541666030884
62,27.82558044657938,0.8110769,0.3428165912628174
63,25.32945913554634,0.56024957,0.7382715940475464
64,24.482457858516863,0.6206967,0.7376736998558044
65,21.74692144893755,0.58747154,0.6173509955406189
66,22.09806430620935,0.57578355,0.6242285370826721
67,25.72722189625327,0.89140993,0.16946953535079956
68,21.042062777646958,0.6277126,0.5645625591278076
69,22.124679798942182,0.53526086,0.6070533394813538
70,24.25433158694795,0.69556457,0.5384466052055359
71,19.748763597340467,0.41597152,0.7316301465034485
72,19.99724764501286,0.48633325,0.7376264333724976
73,24.941096820931694,0.5870151,0.7169233560562134
74,20.268345161268936,0.36486843,0.8148095011711121
75,19.841757591955517,0.3291936,0.8680890798568726
76,31.181750322744705,0.8822748,0.41745656728744507
77,23.956826036774807,0.6593203,0.6128689646720886
78,23.104798864712706,0.7174924,0.44172149896621704
79,26.2135340787588,0.7618827,0.38460132479667664
80,22.848366980071262,0.6421136,0.5530720949172974
81,25.211483750660175,0.85472393,0.2595287263393402
82,21.305365113655203,0.437727,0.763728678226471
83,21.017212043981168,0.45332745,0.7554707527160645
84,19.849981265332215,0.33626664,0.8455831408500671
85,27.095455185155796,0.8399909,0.43613964319229126
86,21.139425730676656,0.59191215,0.6050301790237427
87,22.63092268427126,0.6529698,0.5235731601715088
88,21.51125826336713,0.5853434,0.5312645435333252
89,23.188525972176286,0.62070173,0.5837665796279907
90,20.62072617668616,0.5409375,0.6432908177375793
91,19.828284985023707,0.5363854,0.5836489200592041
92,26.306794701270316,0.7093053,0.6259470582008362
93,25.319784450686413,0.718088,0.5046411752700806
94,17.676407463236437,0.28502366,0.8636471629142761
95,26.481216214365865,0.86640793,0.29870012402534485
96,18.608690793892364,0.43494573,0.7311830520629883
97,26.489891444715408,0.8163252,0.39290785789489746
98,22.017811603888866,0.6952858,0.520246148109436
99,21.062255287630485,0.61343354,0.5885941982269287
Average,23.193884779624977,0.6160775,0.5934373627603055
